Cliente;rede;uf;vendedor;codigo;loja;endereco;bairro;municipio;cep
Assai Petrolina;Assai;PE;Antonio;1899;79;AV SETE DE SETEMBRO SN;ANTONIO CASSIMIRO;PETROLINA;56330-900
Assai Serrinha;Assai;BA;Nixon;1899;41;AV LOMANTO JUNIOR MARGEM BR 116 SN;CIDADE NOVA;SERRINHA;48700-000
Assai Sr Do Bonfim;Assai;BA;Antonio;1899;80;RUA OTAVIO JOSE DE CARVALHO 650;UMBURANA;SENHOR DO BONFIM;48970-000
Assai Tomba Feira;Assai;BA;Nixon;1899;75;AV EDUARDO FROES DA MOTA 2500;TOMBA;FEIRA DE SANTANA;44090-156
Assai Vasco Da Gama;Assai;BA;Nixon;1899;53;AV VASCO DA GAMA 4049;FEDERACAO;SALVADOR;40230-731
Assai Vitoria da Conquista;Assai;BA;Nixon;1899;12;AVENIDA ANEL DE CONTORNO SN;FELICIA;VITORIA DA CONQUISTA;45055-686
Atac Aracaju;Atacadao;SE;Nixon;2;29;AV CHANCELER OSVALDO ARANHA 2445;NOVO PARAISO;ARACAJU;49082-110
Atac Barros Reis;Atacadao;BA;Nixon;2;25;AV BARROS REIS 1579;CABULA;SALVADOR;40310-010
Atac Cabula;Atacadao;BA;Nixon;48;20;R SILVEIRA MARTINS 2233;CABULA;SALVADOR;41150-000
Atac Cajazeiras;Atacadao;BA;Nixon;2;27;R COQUEIRO GRANDE 614;CAJAZEIRAS;SALVADOR;41342-840
Atac Camacari;Atacadao;BA;Nixon;2;38;V PARAFUSO (ANTIGA BA-535);POLO PETROQUIMICO;CAMACARI;42810-200
Atac Camacari Centro;Atacadao;BA;Nixon;48;17;AV DEPUTADO LUIS EDUARDO MAGALHAES;CENTRO;CAMACARI;42800-071
Atac Canabrava;Atacadao;BA;Nixon;48;35;RUA ARTEMIO CASTRO VALENTE 000396;CANABRAVA;SALVADOR;41260-300
Atac Eunapolis;Atacadao;BA;Nixon;2;31;AV ANTONIO CARLOS MAGALHAES SN;RECANTO DAS ARVORES;EUNAPOLIS;45825-580
Atac Feira Santana;Atacadao;BA;Nixon;2;28;AV EDUARDO FROES DA MOTA 5500;MORADA DAS ARVORES;FEIRA DE SANTANA;44021-210
Atac Ilheus;Atacadao;BA;Nixon;2;32;ROD BR 415 SN;SALOBRINHO;ILHEUS;45662-000
Atac Juazeiro Ba;Atacadao;BA;Nixon;2;30;ROD BR 407 KM 06 AREA 01 A SN;ZONA URBANA;JUAZEIRO;48900-000
Atac Lauro Freitas;Atacadao;BA;Nixon;2;26;AV SANTOS DUMONT SN;LAURO DE FREITAS;LAURO DE FREITAS;42700-000
Atac Mares;Atacadao;BA;Nixon;48;8;AV COMENDADOR BASTOS SN;MARES;SALVADOR;40445-211
Atac Petrolina;Atacadao;PE;Antonio;2;51;AV DR. ULYSSES GUIMARAES SN;JARDIM AMAZONAS;PETROLINA;56318-525
Atac Sao Bernardo;Atacadão;BA;Nixon;;;;;;
Atac Sta Terezinha;Atacadao;BA;Nixon;48;32;RODOVIA BA 046 80;SANTA TEREZINHA;SANTO ANTONIO DE JESUS;44445-450
Atacadao Alagoinhas;Atacadao;BA;Nixon;48;21;AVENIDA GOVERNADOR LANDULFO ALVES 300;RIACHO DO MEL;ALAGOINHAS;48005-880
Atacadao Brotas;Atacadao;BA;Nixon;2;72;AV MARIO LEAL FERREIRA 500;BROTAS;SALVADOR;40285-600
Atacadao Brotas;Atacadao;BA;Nixon;48;25;AVENIDA ANTONIO CARLOS MAGALHAES 002423;BROTAS;SALVADOR;40280-000
Atacadao Brotas;Atacadao;BA;Nixon;48;23;AVENIDA MARIO LEAL FERREIRA 000876;BROTAS;SALVADOR;40285-600
Atacadao Cajazeiras VI;Atacadao;BA;Nixon;48;28;RUA COQUEIRO GRANDE 612;CAJAZEIRAS VI;SALVADOR;41342-846
Atacadao Cam Arvores;Atacadao;BA;Nixon;48;24;AVENIDA TANCREDO NEVES 003413;CAMINHO DAS ARVORES;SALVADOR;41820-021
Atacadao Camacari;Atacadao;BA;Nixon;48;26;RODOVIA BA 535  VIA PARAFUSO S/N;INDUSTRIAL;CAMACARI;42800-937
Atacadao Caminho Das Arvores;Atacadao;BA;Nixon;2;73;AV TANCREDO NEVES 3413;CAMINHO DAS ARVORES;SALVADOR;41820-021
